GarageArea,GarageCars,GarageYrBlt,TotRmsAbvGrd,FullBath,GrLivArea,1stFlrSF,TotalBsmtSF,BsmtFinSF1,MasVnrArea,YearRemodAdd,YearBuilt,OverallQual,SalePrice
539,2,1961.0,4,1,861,861,861,262,0.0,1950,1940,4,82500
708,3,2003.0,8,2,1944,1944,1896,1274,0.0,2004,2003,9,360000
420,2,1993.0,6,2,1501,697,697,518,112.0,1994,1993,6,165600
240,1,1948.0,5,1,972,972,972,680,0.0,2002,1948,6,132000
410,2,1939.0,5,1,1118,793,793,507,0.0,1950,1939,5,119900
513,2,1965.0,8,2,2036,2036,2136,1236,0.0,1965,1965,7,375000
546,2,1925.0,6,1,1641,832,728,16,0.0,1990,1925,7,178000
432,2,2004.0,6,2,1432,716,716,425,0.0,2005,2004,7,188500
484,2,1983.0,10,2,2353,1153,845,692,278.0,1980,1980,7,260000
1025,3,2006.0,8,2,1959,1088,1088,0,0.0,2006,2006,8,270000
656,3,1993.0,9,2,2646,1372,1347,987,256.0,1993,1993,7,260000
588,2,1980.0,6,2,1472,1472,1372,1036,225.0,1980,1980,7,187500
840,3,2006.0,9,3,2596,1249,1249,0,370.0,2006,2006,9,342643
872,3,2004.0,10,2,2468,1136,1136,970,388.0,2004,2004,8,354000
576,2,1987.0,8,2,2730,1553,1502,28,172.0,1987,1986,7,301000
220,1,1955.0,6,1,1163,1163,1162,256,0.0,2005,1955,3,126175
564,2,1961.0,11,2,2978,1898,710,0,300.0,2007,1967,7,242000
360,2,1941.0,5,1,803,803,720,116,0.0,1950,1941,5,87000
473,2,1993.0,6,1,1719,1719,1719,1619,0.0,1993,1993,8,324000
292,1,1960.0,7,1,1383,1383,1383,565,175.0,1960,1960,6,145250
441,2,1930.0,10,2,2134,1445,844,0,0.0,1994,1916,6,214500
189,1,1920.0,6,1,1192,596,596,0,0.0,1950,1920,5,78000
352,1,2002.0,10,2,1728,1728,1728,40,84.0,1964,1964,5,119000
308,1,1958.0,6,1,1056,1056,1056,846,0.0,1992,1958,5,139000
880,3,2003.0,7,2,1629,1629,3206,1124,296.0,2004,2003,8,284000
484,2,2004.0,6,2,1358,1358,1358,720,146.0,2004,2004,7,207000
472,2,1998.0,7,2,1638,943,943,828,0.0,1998,1998,6,192000
529,2,1965.0,7,2,1786,1619,1499,1249,0.0,1965,1965,5,228950
676,3,2005.0,8,2,1922,1922,1922,1249,200.0,2006,2005,9,377426
532,2,2002.0,7,2,1536,1536,1536,810,113.0,2003,2002,7,214000
440,2,1984.0,8,2,1621,1621,1208,213,0.0,1998,1984,7,202500
297,1,1958.0,6,1,1215,1215,1215,585,176.0,1998,1958,6,155000
431,2,2002.0,9,2,1908,993,967,0,0.0,2002,2002,8,202900
294,1,1950.0,4,1,841,841,721,0,0.0,1950,1950,4,82000
400,2,1949.0,6,2,1040,1040,0,0,340.0,1950,1949,3,87500
564,2,2005.0,6,2,1684,1684,1684,28,616.0,2005,2005,9,266000
336,1,1976.0,4,1,1112,536,536,129,0.0,1976,1976,5,85000
312,1,1939.0,6,1,1577,972,972,0,0.0,1950,1939,6,140200
301,1,1960.0,5,1,958,958,958,498,0.0,1998,1960,6,151500
498,2,1960.0,6,2,1478,1478,1478,1270,30.0,1960,1960,6,157500
474,2,2003.0,6,2,1626,764,764,573,106.0,2004,2003,7,154000
706,3,2006.0,10,2,2728,1848,1848,1410,870.0,2006,2005,9,437154
617,2,2007.0,6,2,1869,1869,1869,0,362.0,2007,2007,9,318061
445,2,1986.0,6,1,1453,1453,1453,1082,0.0,1986,1986,7,190000
200,1,1941.0,5,1,1111,616,616,236,0.0,1950,1941,5,95000
484,2,2005.0,5,1,720,720,624,0,0.0,2003,1928,6,105900
240,1,1940.0,6,1,1595,1192,940,388,0.0,2000,1940,6,140000
521,2,1995.0,6,2,1200,1200,1200,334,0.0,1995,1995,6,177500
400,2,1992.0,6,2,1167,1167,1158,560,106.0,1992,1992,6,173000
528,2,1976.0,6,1,1142,1142,1142,874,0.0,1976,1976,5,134000
288,1,1958.0,6,1,1352,1352,1062,300,120.0,1958,1958,5,130000
592,2,1998.0,7,2,1924,1086,1086,956,530.0,1998,1998,8,280000
470,2,1978.0,5,1,912,912,888,773,0.0,1978,1978,6,156000
