Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
24,120,5,44.0,4224,2,0,4,4,1,5,1,11,3,3,5,3,5,7,1976,1976,2,2,6,6,3,0.0,4,5,3,3,4,4,3,840,6,0,200,1040,2,5,2,5,1060,0,0,1060,1,0,1,0,3,1,4,6,7,1,5,2,1976.0,3,2,572,5,5,3,100,110,0,0,0,0,0,0,0,0,6,2007,9,5,129900
25,20,4,69.0,8246,2,0,1,4,1,5,1,20,3,3,1,3,5,8,1968,2001,2,2,10,11,3,0.0,4,3,2,4,4,3,5,188,1,668,204,1060,2,1,2,5,1060,0,0,1060,1,0,1,0,3,1,3,6,7,1,5,2,1968.0,3,1,270,5,5,3,406,90,0,0,0,0,0,3,0,0,5,2010,9,5,154000
26,20,4,110.0,14230,2,0,4,4,1,1,1,17,3,3,1,3,8,5,2007,2007,2,2,13,14,4,640.0,3,5,3,3,4,4,6,0,6,0,1566,1566,2,1,2,5,1600,0,0,1600,0,0,2,0,3,1,3,7,7,1,3,2,2007.0,2,3,890,5,5,3,0,56,0,0,0,0,0,0,0,0,7,2009,9,5,256300
27,20,4,60.0,7200,2,0,4,4,1,1,1,13,3,3,1,3,5,7,1951,2000,2,2,14,15,3,0.0,4,5,2,4,4,3,2,234,5,486,180,900,2,5,2,5,900,0,0,900,0,1,1,0,3,1,3,5,7,0,0,6,2005.0,3,2,576,5,5,3,222,32,0,0,0,0,0,0,0,0,5,2010,9,5,134800
28,20,4,98.0,11478,2,0,4,4,1,5,1,17,3,3,1,3,8,5,2007,2008,2,2,13,14,4,200.0,3,5,3,1,4,4,3,1218,6,0,486,1704,2,1,2,5,1704,0,0,1704,1,0,2,0,3,1,3,7,7,1,3,2,2008.0,2,3,772,5,5,3,0,50,0,0,0,0,0,0,0,0,5,2010,9,5,306000
29,20,4,47.0,16321,2,0,1,4,1,2,1,13,3,3,1,3,5,6,1957,1997,2,2,9,9,3,0.0,4,5,2,4,4,2,2,1277,6,0,207,1484,2,5,2,5,1600,0,0,1600,1,0,1,0,2,1,4,6,7,2,3,2,1957.0,2,1,319,5,5,3,288,258,0,0,0,0,0,0,0,0,12,2006,9,5,207500
30,30,5,60.0,6324,2,0,1,4,1,5,1,4,2,8,1,3,4,6,1927,1950,2,2,9,9,3,0.0,4,5,1,4,4,4,6,0,6,0,520,520,2,2,1,5,520,0,0,520,0,0,1,0,1,1,2,4,7,0,0,6,1920.0,3,1,240,2,5,3,49,0,87,0,0,0,0,0,0,0,5,2008,9,5,68500
31,70,1,50.0,8500,2,2,4,4,1,5,1,10,2,3,1,6,4,4,1920,1950,3,2,4,4,3,0.0,4,2,1,4,4,4,6,0,6,0,649,649,2,5,1,5,649,668,0,1317,0,0,1,0,3,1,4,6,7,0,0,6,1920.0,3,1,250,5,2,1,0,54,172,0,0,0,0,3,0,0,7,2008,9,5,40000
32,20,4,69.0,8544,2,0,1,4,1,2,1,20,3,3,1,3,5,6,1966,2006,2,2,7,7,3,0.0,4,5,2,4,4,4,6,0,6,0,1228,1228,2,3,2,5,1228,0,0,1228,0,0,1,1,3,1,3,6,7,0,0,2,1966.0,3,1,271,5,5,3,0,65,0,0,0,0,0,3,0,0,6,2008,9,5,149350
33,20,4,85.0,11049,2,0,4,4,1,1,1,6,3,3,1,3,8,5,2007,2007,2,2,13,14,3,0.0,3,5,3,1,4,1,6,0,6,0,1234,1234,2,1,2,5,1234,0,0,1234,0,0,2,0,3,1,3,7,7,0,0,2,2007.0,2,2,484,5,5,3,0,30,0,0,0,0,0,0,0,0,1,2008,9,5,179900
34,20,4,70.0,10552,2,0,1,4,1,5,1,13,3,3,1,3,5,5,1959,1959,4,2,4,4,3,0.0,4,5,2,4,4,4,5,1018,6,0,380,1398,2,3,2,5,1700,0,0,1700,0,1,1,1,4,1,3,6,7,1,3,2,1959.0,2,2,447,5,5,3,0,38,0,0,0,0,0,0,0,0,4,2010,9,5,165500
35,120,4,60.0,7313,2,0,4,4,1,5,1,17,3,3,5,3,9,5,2005,2005,4,2,9,9,2,246.0,1,5,3,1,4,4,3,1153,6,0,408,1561,2,1,2,5,1561,0,0,1561,1,0,2,0,2,1,1,6,7,1,3,2,2005.0,1,2,556,5,5,3,203,47,0,0,0,0,0,0,0,0,8,2007,9,5,277500
36,60,4,108.0,13418,2,0,4,4,1,5,1,17,3,3,1,6,8,5,2004,2005,2,2,13,14,4,132.0,3,5,3,1,4,1,6,0,6,0,1117,1117,2,1,2,5,1132,1320,0,2452,0,0,3,1,4,1,3,9,7,1,3,4,2004.0,1,3,691,5,5,3,113,32,0,0,0,0,0,0,0,0,9,2006,9,5,309000
37,20,4,112.0,10859,2,0,4,4,1,1,1,6,3,3,1,3,5,5,1994,1995,2,2,13,14,3,0.0,4,5,3,3,4,4,6,0,6,0,1097,1097,2,1,2,5,1097,0,0,1097,0,0,1,1,3,1,4,6,7,0,0,2,1995.0,3,2,672,5,5,3,392,64,0,0,0,0,0,0,0,0,6,2009,9,5,145000
38,20,4,74.0,8532,2,0,4,4,1,5,1,13,3,3,1,3,5,6,1954,1990,4,2,14,15,2,650.0,4,5,2,4,4,4,5,1213,6,0,84,1297,2,3,2,5,1297,0,0,1297,0,1,1,0,3,1,4,5,7,1,5,2,1954.0,1,2,498,5,5,3,0,0,0,0,0,0,0,0,0,0,10,2009,9,5,153000
39,20,4,68.0,7922,2,0,4,4,1,5,1,13,3,3,1,3,5,7,1953,2007,2,2,13,14,3,0.0,4,3,2,4,4,4,3,731,6,0,326,1057,2,5,2,5,1057,0,0,1057,1,0,1,0,3,1,3,5,7,0,0,6,1953.0,3,1,246,5,5,3,0,52,0,0,0,0,0,0,0,0,1,2010,9,1,109000
40,90,4,65.0,6040,2,0,4,4,1,5,1,8,3,3,3,3,4,5,1955,1955,2,2,1,11,3,0.0,4,5,3,0,0,0,0,0,0,0,0,0,2,5,1,3,1152,0,0,1152,0,0,2,0,2,2,2,6,7,0,0,0,1980.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,2008,9,2,82000
41,20,4,84.0,8658,2,0,4,4,1,5,1,13,3,3,1,3,6,5,1965,1965,2,2,14,15,2,101.0,4,5,2,4,4,4,5,643,6,0,445,1088,2,1,2,5,1324,0,0,1324,0,0,2,0,3,1,4,6,7,1,5,2,1965.0,2,2,440,5,5,3,0,138,0,0,0,0,0,2,0,0,12,2006,9,1,160000
42,20,4,115.0,16905,2,0,4,4,1,5,1,24,3,3,1,3,5,6,1959,1959,2,2,13,14,3,0.0,4,3,2,4,4,2,2,967,6,0,383,1350,2,3,2,5,1328,0,0,1328,0,1,1,1,2,1,4,5,7,2,3,2,1959.0,2,1,308,5,5,2,0,104,0,0,0,0,0,0,0,0,7,2007,9,5,170000
43,85,4,69.0,9180,2,0,1,4,1,2,1,21,3,3,1,7,5,7,1983,1983,2,2,7,7,3,0.0,4,5,2,3,4,1,1,747,4,93,0,840,2,3,2,5,884,0,0,884,1,0,1,0,2,1,3,5,7,0,0,2,1983.0,2,2,504,5,3,3,240,0,0,0,0,0,0,3,0,0,12,2007,9,5,144000
44,20,4,69.0,9200,2,0,1,4,1,2,1,6,3,3,1,3,5,6,1975,1980,4,2,13,14,3,0.0,4,5,2,3,4,1,4,280,2,491,167,938,2,5,2,5,938,0,0,938,1,0,1,0,3,1,4,5,7,0,0,6,1977.0,3,1,308,5,5,3,145,0,0,0,0,0,0,3,0,0,7,2008,9,5,130250
45,20,4,70.0,7945,2,0,4,4,1,5,1,13,3,3,1,3,5,6,1959,1959,2,2,4,15,3,0.0,4,5,2,4,4,4,1,179,2,506,465,1150,2,1,2,1,1150,0,0,1150,1,0,1,0,3,1,4,6,7,0,0,2,1959.0,2,1,300,5,5,3,0,0,0,0,0,0,0,0,0,0,5,2006,9,5,141000
46,120,4,61.0,7658,2,0,4,4,1,5,1,17,3,3,5,3,9,5,2005,2005,4,2,9,9,2,412.0,1,5,3,1,4,4,3,456,6,0,1296,1752,2,1,2,5,1752,0,0,1752,1,0,2,0,2,1,1,6,7,1,3,2,2005.0,2,2,576,5,5,3,196,82,0,0,0,0,0,0,0,0,2,2010,9,5,319900
47,50,4,48.0,12822,2,0,1,4,1,2,1,12,3,3,1,1,7,5,2003,2003,2,2,13,14,3,0.0,3,5,3,1,4,4,3,1351,6,0,83,1434,2,1,2,5,1518,631,0,2149,1,0,1,1,1,1,3,6,7,1,1,2,2003.0,2,2,670,5,5,3,168,43,0,0,198,0,0,0,0,0,8,2009,9,1,239686
48,20,2,84.0,11096,2,0,4,4,1,5,1,22,3,3,1,3,8,5,2006,2006,2,2,13,14,3,0.0,3,5,3,3,4,1,3,24,6,0,1632,1656,2,1,2,5,1656,0,0,1656,0,0,2,0,3,1,3,7,7,0,0,2,2006.0,2,3,826,5,5,3,0,146,0,0,0,0,0,0,0,0,7,2007,9,5,249700
49,190,5,33.0,4456,2,0,4,4,1,5,1,18,3,3,2,6,4,5,1920,2008,2,2,9,9,3,0.0,4,5,1,4,4,4,6,0,6,0,736,736,2,3,2,5,736,716,0,1452,0,0,2,0,2,3,4,8,7,0,0,0,1980.0,0,0,0,0,0,1,0,0,102,0,0,0,0,0,0,0,6,2009,7,6,113000
50,20,4,66.0,7742,2,0,4,4,1,5,1,20,3,3,1,3,5,7,1966,1966,2,2,7,7,3,0.0,4,5,2,4,4,4,2,763,6,0,192,955,2,1,2,5,955,0,0,955,1,0,1,0,3,1,4,6,7,0,0,2,1966.0,3,1,386,5,5,3,0,0,0,0,0,0,0,3,0,0,1,2007,9,5,127000
51,60,4,69.0,13869,2,0,2,4,1,1,1,9,3,3,1,6,6,6,1997,1997,2,2,13,14,3,0.0,4,5,3,3,4,1,3,182,6,0,612,794,2,3,2,5,794,676,0,1470,0,1,2,0,3,1,4,6,7,0,0,2,1997.0,1,2,388,5,5,3,0,75,0,0,0,0,0,0,0,0,7,2007,9,5,177000
52,50,5,52.0,6240,2,0,4,4,1,5,1,4,3,3,1,1,6,6,1934,1950,2,2,14,15,3,0.0,4,5,3,4,4,4,6,0,6,0,816,816,2,5,2,5,816,0,360,1176,0,0,1,0,3,1,4,6,7,1,3,6,1985.0,3,2,528,5,5,3,112,0,0,0,0,0,0,3,3,400,9,2006,9,5,114500
53,90,5,110.0,8472,1,0,2,1,1,1,2,10,9,3,3,3,5,5,1963,1963,2,2,14,15,3,0.0,2,5,2,3,4,2,4,104,3,712,0,816,2,5,1,5,816,0,0,816,1,0,1,0,2,1,4,5,7,0,0,5,1963.0,3,2,516,5,5,3,106,0,0,0,0,0,0,0,0,0,5,2010,9,5,110000
54,20,4,68.0,50271,2,0,1,3,1,5,1,25,3,3,1,3,9,5,1981,1987,2,8,15,16,3,0.0,3,5,2,1,4,2,3,1810,6,0,32,1842,2,3,2,5,1842,0,0,1842,2,0,0,1,0,1,3,5,7,1,3,2,1981.0,1,3,894,5,5,3,857,72,0,0,0,0,0,0,0,0,11,2006,9,5,385000
55,80,4,60.0,7134,2,0,4,1,1,5,2,13,3,3,1,8,5,5,1955,1955,2,2,9,9,3,0.0,4,5,2,4,4,4,1,384,6,0,0,384,2,5,2,5,1360,0,0,1360,0,0,1,0,3,1,4,6,3,1,5,6,1962.0,3,2,572,5,5,3,0,50,0,0,0,0,0,3,0,0,2,2007,9,5,130000
56,20,4,100.0,10175,2,0,1,4,1,5,1,13,3,3,1,3,6,5,1964,1964,2,2,7,11,2,272.0,4,5,2,4,4,4,2,490,6,0,935,1425,2,3,2,5,1425,0,0,1425,0,0,2,0,3,1,4,7,7,1,3,2,1964.0,2,2,576,5,5,3,0,0,0,407,0,0,0,0,0,0,7,2008,9,5,180500
57,160,2,24.0,2645,2,2,4,4,1,5,1,22,3,3,4,6,8,5,1999,2000,2,2,9,9,2,456.0,3,5,3,3,4,4,3,649,6,0,321,970,2,1,2,5,983,756,0,1739,1,0,2,1,3,1,3,7,7,0,0,2,1999.0,1,2,480,5,5,3,115,0,0,0,0,0,0,0,0,0,8,2009,9,1,172500
58,60,4,89.0,11645,2,0,1,4,1,1,1,6,3,3,1,6,7,5,2004,2004,2,2,13,14,3,0.0,3,5,3,3,4,4,6,0,6,0,860,860,2,1,2,5,860,860,0,1720,0,0,2,1,3,1,3,7,7,0,0,2,2004.0,2,2,565,5,5,3,0,70,0,0,0,0,0,0,0,0,8,2006,9,5,196500
59,60,4,66.0,13682,2,0,2,2,1,2,1,23,3,3,1,6,10,5,2006,2006,4,2,13,14,2,1031.0,1,5,3,1,4,2,6,0,6,0,1410,1410,2,1,2,5,1426,1519,0,2945,0,0,3,1,3,1,3,10,7,1,3,4,2006.0,1,3,641,5,5,3,192,0,37,0,0,0,0,0,0,0,10,2006,7,6,438780
60,20,4,60.0,7200,2,0,4,1,1,5,1,6,3,3,1,3,5,7,1972,1972,2,2,7,7,3,0.0,4,5,2,4,4,1,1,632,6,0,148,780,2,1,2,5,780,0,0,780,0,0,1,0,2,1,4,4,7,0,0,6,1973.0,3,1,352,5,5,3,196,0,0,0,0,0,0,3,0,0,1,2008,9,5,124900
61,20,4,63.0,13072,2,0,4,4,1,5,1,21,6,3,1,3,6,5,2004,2004,2,2,13,14,3,0.0,4,5,3,3,4,4,1,941,6,0,217,1158,2,1,2,5,1158,0,0,1158,1,0,1,1,3,1,3,5,7,0,0,6,2006.0,3,2,576,5,5,3,0,50,0,0,0,0,0,0,0,0,5,2006,7,6,158000
62,75,5,60.0,7200,2,0,4,4,1,5,1,10,3,3,1,5,5,7,1920,1996,2,2,9,9,3,0.0,4,5,1,4,1,4,6,0,6,0,530,530,2,5,1,5,581,530,0,1111,0,0,1,0,3,1,2,6,7,0,0,6,1935.0,3,1,288,5,5,1,0,0,144,0,0,0,0,0,0,0,3,2007,9,5,101000
63,120,4,44.0,6442,2,0,1,4,1,5,1,17,3,3,5,3,8,5,2006,2006,2,2,13,14,4,178.0,3,5,3,3,2,3,3,24,6,0,1346,1370,2,1,2,5,1370,0,0,1370,0,0,2,0,2,1,3,6,7,1,3,2,2006.0,2,2,484,5,5,3,120,49,0,0,0,0,0,0,0,0,10,2007,9,5,202500
64,70,5,50.0,10300,2,0,1,1,1,5,1,18,7,2,1,6,7,6,1921,1950,2,2,12,13,3,0.0,4,5,1,4,4,4,6,0,6,0,576,576,2,3,2,5,902,808,0,1710,0,0,2,0,3,1,4,9,7,0,0,6,1990.0,3,2,480,5,5,3,12,11,64,0,0,0,0,1,0,0,4,2010,9,5,140000
65,60,4,69.0,9375,2,0,4,4,1,5,1,6,3,3,1,6,7,5,1997,1998,2,2,13,14,2,573.0,4,5,3,3,4,4,3,739,6,0,318,1057,2,1,2,5,1057,977,0,2034,1,0,2,1,3,1,3,8,7,0,0,2,1998.0,2,2,645,5,5,3,576,36,0,0,0,0,0,1,0,0,2,2009,9,5,219500
66,60,4,76.0,9591,2,0,4,4,1,5,1,17,3,3,1,6,8,5,2004,2005,2,2,13,14,2,344.0,3,5,3,1,4,1,6,0,6,0,1143,1143,2,1,2,5,1143,1330,0,2473,0,0,2,1,4,1,3,9,7,1,3,4,2004.0,2,3,852,5,5,3,192,151,0,0,0,0,0,0,0,0,10,2007,9,5,317000
67,20,4,69.0,19900,2,0,4,4,1,5,1,13,4,3,1,3,7,5,1970,1989,2,2,10,11,2,287.0,4,5,2,3,4,2,3,912,6,0,1035,1947,2,5,2,5,2207,0,0,2207,1,0,2,0,3,1,4,7,3,1,3,2,1970.0,2,2,576,5,5,3,301,0,0,0,0,0,0,0,0,0,7,2010,9,5,180000
68,20,4,72.0,10665,2,0,1,4,1,5,1,6,3,3,1,3,7,5,2003,2003,2,2,13,14,2,167.0,3,5,3,3,4,1,3,1013,6,0,440,1453,2,1,2,5,1479,0,0,1479,1,0,2,0,3,1,3,7,7,0,0,2,2003.0,2,2,558,5,5,3,144,29,0,0,0,0,0,0,0,0,6,2007,9,5,226000
69,30,5,47.0,4608,2,0,4,4,1,1,1,18,1,3,1,3,4,6,1945,1950,2,2,9,9,3,0.0,4,3,2,4,4,4,6,0,6,0,747,747,2,5,2,5,747,0,0,747,0,0,1,0,2,1,4,4,7,0,0,2,1945.0,3,1,220,5,5,3,0,0,0,0,0,0,0,0,0,0,6,2010,9,5,80000
70,50,4,81.0,15593,2,0,4,4,1,1,1,5,3,3,1,1,7,4,1953,1953,2,2,4,1,3,0.0,3,5,2,4,4,4,2,603,6,0,701,1304,3,5,2,5,1304,983,0,2287,0,0,2,0,3,1,4,7,7,1,5,2,1953.0,1,2,667,5,5,3,0,21,114,0,0,0,0,0,0,0,7,2006,9,5,225000
71,20,4,95.0,13651,2,0,1,4,1,5,1,13,3,3,1,3,7,6,1973,1973,2,2,10,11,2,1115.0,4,3,2,3,4,2,1,1880,6,0,343,2223,2,1,2,5,2223,0,0,2223,1,0,2,0,3,1,4,8,7,2,3,2,1973.0,1,2,516,5,5,3,300,0,0,0,0,0,0,0,0,0,2,2007,9,5,244000
72,20,4,69.0,7599,2,0,4,4,1,1,1,12,3,3,1,3,4,6,1982,2006,2,2,7,11,3,0.0,4,5,2,4,4,4,1,565,6,0,280,845,2,5,2,5,845,0,0,845,1,0,1,0,2,1,4,4,7,0,0,6,1987.0,3,2,360,5,5,3,0,0,0,0,0,0,0,0,0,0,6,2007,9,5,129500
73,60,4,74.0,10141,2,0,1,4,1,1,1,9,3,3,1,6,7,5,1998,1998,2,2,13,14,2,40.0,4,5,3,3,4,4,6,0,6,0,832,832,2,3,2,5,885,833,0,1718,0,0,2,1,3,1,4,7,7,1,5,2,1998.0,1,2,427,5,5,3,0,94,0,0,291,0,0,0,0,0,12,2009,9,5,185000
